iter	MultiClass
0	2.609979949
1	2.392087377
2	2.271190322
3	2.130541932
4	2.040340633
5	1.96504686
6	1.888362097
7	1.82137717
8	1.761894243
9	1.701141001
10	1.655927266
11	1.615982005
12	1.578154355
13	1.526799389
14	1.499678434
15	1.471932058
16	1.432399935
17	1.400725534
18	1.366458574
19	1.337700077
20	1.313682628
21	1.283874707
22	1.272960145
23	1.253189186
24	1.235996263
25	1.22192925
26	1.19912564
27	1.184919769
28	1.16836886
29	1.160203614
30	1.15016842
31	1.142838722
32	1.12835061
33	1.116957339
34	1.105722247
35	1.094086038
36	1.085466311
37	1.075185879
38	1.063210825
39	1.055377671
40	1.047344595
41	1.041000181
42	1.03080908
43	1.023784713
44	1.014824331
45	1.005753623
46	0.9964179701
47	0.9874144478
48	0.982451118
49	0.9773568548
50	0.9717605829
51	0.9669458589
52	0.9575300755
53	0.9507084823
54	0.9411889085
55	0.9357087763
56	0.9297028388
57	0.9264543748
58	0.9182729054
59	0.9140772749
60	0.9077053265
61	0.9032279479
62	0.8996647336
63	0.8965323325
64	0.8918284533
65	0.8862141046
66	0.8791655016
67	0.8755771023
68	0.8722415756
69	0.8700886497
70	0.865249888
71	0.8604802896
72	0.8583113336
73	0.8556984078
74	0.8497772456
75	0.8467960161
76	0.8436259662
77	0.8411105696
78	0.8389076866
79	0.8342801487
80	0.8295954192
81	0.8262902533
82	0.8224721973
83	0.8208263721
84	0.8184472746
85	0.8159618069
86	0.8144043529
87	0.811801808
88	0.8080865239
89	0.8055762363
90	0.8022390992
91	0.7984108329
92	0.7974283363
93	0.7940817777
94	0.7906149183
95	0.7872566649
96	0.7852019748
97	0.7812824808
98	0.7777963621
99	0.7745151776
100	0.7711856881
101	0.7681195831
102	0.7642139327
103	0.7626996693
104	0.7591803227
105	0.7568747958
106	0.7535974848
107	0.7509873548
108	0.7468013334
109	0.7449402236
110	0.7428942543
111	0.7398979209
112	0.7369617043
113	0.7347072663
114	0.7328875482
115	0.7299403307
116	0.7281635784
117	0.7258579156
118	0.7225440052
119	0.7200107126
120	0.7179532673
121	0.7174046465
122	0.7148209692
123	0.7124808141
124	0.7096761931
125	0.7067638605
126	0.7047458087
127	0.7020156942
128	0.69976009
129	0.6975507372
130	0.6965985562
131	0.6947054892
132	0.6926597804
133	0.6900654337
134	0.6873941041
135	0.686036577
136	0.6838495625
137	0.6823041839
138	0.6804485111
139	0.6793630159
140	0.6783628629
141	0.6767748826
142	0.6744451088
143	0.6720640381
144	0.6708086983
145	0.6691690539
146	0.6681382026
147	0.6652974653
148	0.6630576333
149	0.6609565518
150	0.6596319826
151	0.6582407412
152	0.6557110673
153	0.6530660048
154	0.6514119665
155	0.6488468636
156	0.6465904968
157	0.6455714982
158	0.643547876
159	0.6418872008
160	0.6394087832
161	0.6376144404
162	0.6354744169
163	0.6341896685
164	0.632296169
165	0.6309219597
166	0.6283301849
167	0.6263349606
168	0.6238908592
169	0.6221398752
170	0.6214041733
171	0.6204507436
172	0.6188203767
173	0.617093828
174	0.615721622
175	0.6147516954
176	0.6136924371
177	0.6116022202
178	0.6107479928
179	0.6095334535
180	0.6083628885
181	0.607012515
182	0.6060871899
183	0.6041328477
184	0.603421406
185	0.602042513
186	0.6006359605
187	0.5991454012
188	0.5975821243
189	0.5960315498
190	0.5935382147
191	0.5922456923
192	0.5909009664
193	0.5885944306
194	0.5868520859
195	0.5852169309
196	0.5833195035
197	0.582195582
198	0.5810121577
199	0.5796744371
200	0.5781293892
201	0.5770277065
202	0.5751898607
203	0.5734500036
204	0.5719827772
205	0.5701398869
206	0.5689377593
207	0.5681060824
208	0.5667731402
209	0.5656886795
210	0.5646774884
211	0.5635423243
212	0.5620066064
213	0.560247032
214	0.5585277357
215	0.5572711713
216	0.5559961434
217	0.5548100477
218	0.5529800546
219	0.5513360297
220	0.5497567797
221	0.5485497316
222	0.5470550394
223	0.5458386503
224	0.5440257364
225	0.5430989628
226	0.5417858026
227	0.5403456798
228	0.539213296
229	0.5379347963
230	0.5366270799
231	0.5356274889
232	0.5342764576
233	0.5328719899
234	0.532022983
235	0.5310312222
236	0.5300566343
237	0.5290207134
238	0.528509605
239	0.5276785646
240	0.5265723181
241	0.5252539518
242	0.5245484151
243	0.5235566788
244	0.5225340187
245	0.521444039
246	0.5205100686
247	0.5198820478
248	0.5183787217
249	0.5171719902
250	0.516030206
251	0.5154195288
