iter	Passed	Remaining
0	120	120726
1	244	122051
2	373	124171
3	504	125556
4	633	126003
5	761	126121
6	892	126608
7	1023	126881
8	1155	127234
9	1287	127461
10	1417	127463
11	1550	127678
12	1685	127962
13	1819	128151
14	1953	128254
15	2086	128313
16	2221	128464
17	2355	128516
18	2490	128603
19	2621	128459
20	2749	128174
21	2885	128274
22	3016	128125
23	3144	127894
24	3277	127840
25	3415	127967
26	3561	128361
27	3696	128314
28	3827	128169
29	3963	128156
30	4096	128058
31	4228	127905
32	4362	127824
33	4494	127687
34	4628	127610
35	4757	127396
36	4891	127307
37	5022	127158
38	5154	127017
39	5285	126857
40	5416	126695
41	5546	126506
42	5686	126555
43	5819	126437
44	5956	126415
45	6102	126559
46	6240	126537
47	6390	126750
48	6524	126625
49	6655	126459
50	6782	126205
51	6916	126085
52	7048	125936
53	7181	125806
54	7316	125711
55	7452	125628
56	7590	125576
57	7724	125460
58	7858	125333
59	7989	125174
60	8123	125046
61	8265	125053
62	8398	124904
63	8529	124747
64	8664	124633
65	8798	124509
66	8931	124379
67	9067	124274
68	9202	124164
69	9333	123997
70	9464	123842
71	9595	123670
72	9724	123491
73	9852	123287
74	9985	123154
75	10114	122971
76	10245	122811
77	10378	122684
78	10513	122568
79	10653	122513
80	10794	122471
81	10929	122355
82	11069	122296
83	11204	122179
84	11340	122072
85	11478	121987
86	11614	121884
87	11746	121731
88	11880	121612
89	12012	121457
90	12145	121325
91	12280	121206
92	12422	121148
93	12558	121043
94	12693	120926
95	12837	120888
96	12977	120808
97	13134	120894
98	13283	120890
99	13425	120832
100	13564	120734
101	13703	120641
102	13840	120534
103	13974	120392
104	14111	120281
105	14245	120145
106	14393	120128
107	14526	119979
108	14665	119880
109	14804	119782
110	14936	119630
111	15069	119477
112	15202	119334
113	15335	119187
114	15465	119017
115	15596	118852
116	15727	118692
117	15859	118539
118	15996	118425
119	16132	118304
120	16264	118153
121	16395	117990
122	16532	117877
123	16662	117711
124	16798	117586
125	16931	117446
126	17063	117295
127	17196	117150
128	17330	117011
129	17470	116915
130	17599	116750
131	17735	116621
132	17866	116470
133	17999	116322
134	18134	116195
135	18264	116033
136	18399	115902
137	18533	115766
138	18661	115593
139	18794	115454
140	18926	115301
141	19057	115152
142	19192	115018
143	19325	114878
144	19454	114711
145	19585	114562
146	19714	114395
147	19855	114305
